species_indonesia,species_english,species_scientific,search_keywords,min_images,prioritas,fish_group,habitat_type,ornamental_type,local_names
Layang deles,shortfin scad,Decapterus macrosoma,Layang deles; shortfin scad; Decapterus macrosoma; shortfin scad fish,50,LOW,Layang,"LAUT, PAYAU",NON HIAS,
Layang biru,mackerel scad,Decapterus macarellus,Layang biru; mackerel scad; Decapterus macarellus; mackerel scad fish,50,LOW,Layang,"LAUT, PAYAU",NON HIAS,pectoralf pendek; layang biru; pectoralf pendek
Layang benggol,indian scad,Decapterus russelli,Layang benggol; indian scad; Decapterus russelli; indian scad fish,50,LOW,Layang,"LAUT, PAYAU",NON HIAS,bengol; korok
Layang anggur,redtail scad,Decapterus kurroides,Layang anggur; redtail scad; Decapterus kurroides; redtail scad fish,50,LOW,Layang,LAUT,NON HIAS,malalugis; ronghak; subbo; momar; layang; layah; momar merah
Layur merah,taper-tail ribbonfish,Zu elongatus,Layur merah; taper-tail ribbonfish; Zu elongatus,50,LOW,Layur,LAUT,NON HIAS,layur abang
Layang,japanese scad,Decapterus maruadsi,Layang; japanese scad; Decapterus maruadsi; japanese scad fish,50,LOW,Layang,LAUT,NON HIAS,lajeng
Lampan,tinfoil barb,Barbonymus schwanenfeldii,Lampan; tinfoil barb; Barbonymus schwanenfeldii; tinfoil barb fish,50,LOW,Lampan,TAWAR,"HIAS, NON HIAS",tengadak (kalimantan); kapiat (sumatra); lampan (melayu); lampan; salab; kapiat; lampan; repang-repang
Lambe kepala titik putih,snooty wrasse,Cheilinus oxycephalus,Lambe kepala titik putih; snooty wrasse; Cheilinus oxycephalus; snooty wrasse fish,50,LOW,Bayeman,LAUT,NON HIAS,bayeman
Lalawak,barb,Barbonymus balleroides,Lalawak; barb; Barbonymus balleroides; barb fish,50,LOW,Barbus,TAWAR,NON HIAS,lalawak; baderbang; bader
Lais tipis,glass catfish,Kryptopterus bicirrhis,Lais tipis; glass catfish; Kryptopterus bicirrhis,50,LOW,Lais,TAWAR,"HIAS, NON HIAS",lais
Lais timah,sheat catfish,Phalacronotus apogon,Lais timah; sheat catfish; Phalacronotus apogon,50,LOW,Lais,TAWAR,NON HIAS,bentilap; lais timah
Lais ompok,butter catfish,Ompok miostoma,Lais ompok; butter catfish; Ompok miostoma,50,LOW,Ompok,TAWAR,NON HIAS,lempuk; lepok
Lais muncung,catfish,Phalacronotus micronemus,Lais muncung; catfish; Phalacronotus micronemus,50,LOW,Patin,"PAYAU, TAWAR",NON HIAS,lais; lais muncung; junggang lais
Lais juaro,blue sheatfish,Kryptopterus cryptopterus,Lais juaro; blue sheatfish; Kryptopterus cryptopterus,50,LOW,Lais,TAWAR,"HIAS, NON HIAS",
Lamun,seagrass; serrated ribbon seagrass,Cymodocea serrulata,Lamun; seagrass; serrated ribbon seagrass; Cymodocea serrulata; seagrass; serrated ribbon seagrass fish,50,LOW,Rumput laut,LAUT,NON HIAS,
